"id","entrega","estado_antes","estado_revisado","natureza_pendencia","fontes","conclusao_e_aceite_restante","metodo","commit_base","commit_auditado"
"UX11","Arquitetura da informação","P","P","validacao_operacao","src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts","Destinos por tarefa implementados; testes de localização com compradores ainda ausentes.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX12","Nomes das tarefas","P","I","nenhuma_no_escopo_tecnico","src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json; src/components/QuoteDrawer.tsx; docs/GUIA_DE_VOZ.md","Ações de seleção vazia usam Explorar catálogo; termos editoriais continuam nos títulos. Vocabulário funcional documentado sem prometer venda online.","Revisão de implementação e contratos em 22/09; validação local discriminada em EXECUCAO_COMPLEMENTAR_20260922.md. Teste automatizado não substitui aceite operacional ou pesquisa.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","25be22f768a6714aa04e0ccff06b0f556a7b8b7c"
"UX13","Guia de voz","P","P","aceite_editorial","src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx; docs/GUIA_DE_VOZ.md","Guia de voz com nomes, exemplos, frases aprovadas e revisão por PR implementado. Exemplos novos ainda requerem aceite editorial de marketing.","Revisão de implementação e contratos em 22/09; validação local discriminada em EXECUCAO_COMPLEMENTAR_20260922.md. Teste automatizado não substitui aceite operacional ou pesquisa.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","25be22f768a6714aa04e0ccff06b0f556a7b8b7c"
"UX14","Sistema visual","I","I","nenhuma_no_escopo_tecnico","src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; src/components/Layout.tsx; src/App.tsx","Tokens e componentes compartilhados presentes; não equivale à certificação manual de acessibilidade.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX15","Cabeçalho por tarefa","I","I","nenhuma_no_escopo_tecnico","src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json","Cabeçalho oferece catálogo busca seleção e conta; percursos desktop/mobile automatizados.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX16","Busca móvel","I","I","nenhuma_no_escopo_tecnico","src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json","Busca e menu móvel funcionam na cobertura automatizada; dispositivos físicos ficam em UX95.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX17","Painéis e diálogos","P","P","validacao_assistiva","src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; src/pages/CustomerAccountPage.tsx; src/pages/CustomerQuotePage.tsx; src/lib/customerAccount.ts; api/customer-proposals.ts; tests/api/customer-proposals.test.ts; src/components/SavedSelections.tsx; src/pages/SharedSelectionPage.tsx","Diálogos de repetição, compartilhamento e campanhas bloqueiam scroll e controlam foco/Escape. Resta revisão assistiva manual além dos testes de teclado.","Revisão de implementação e contratos em 22/09; validação local discriminada em EXECUCAO_COMPLEMENTAR_20260922.md. Teste automatizado não substitui aceite operacional ou pesquisa.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","25be22f768a6714aa04e0ccff06b0f556a7b8b7c"
"UX18","Orientação e posição","P","I","nenhuma_no_escopo_tecnico","src/App.tsx; src/lib/scrollRestoration.ts; src/lib/scrollRestoration.test.ts; e2e/smoke.spec.ts","Restauração por chave aguarda conteúdo lazy crescer, respeita a intenção da pessoa e tem regressões unitária e de navegador para retorno ao catálogo.","Implementação e cenários assíncrono, timeout, cancelamento e voltar do produto validados em 22/09/2026.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","909b1eff043a45690a8b08f3b0f55d1dd624474f"
"UX19","Erros e vazios","I","I","nenhuma_no_escopo_tecnico","api/site-page.ts; api/product-page.ts; api/_lib/publicProductPage.ts; api/sitemap.ts; vercel.json; docs/audits/plan-review-20260912/http-production.json; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json","Rotas inválidas retornam 404 com shell próprio; estados vazio e recuperação presentes.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX20","Testar navegação com tarefas","E","E","material_pesquisa_operacao","docs/PLANO_UX_100_ETAPAS_20260909.md; docs/RELATORIO_EXPERIENCIA_MARKETING_GEN_Z_20260909.md; docs/audits/plan-review-20260912/http-production.json","Não há sessões documentadas com compradores reais; auditoria técnica é evidência distinta.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX21","Ordem da home por intenção","P","P","pesquisa_compradores","src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts","Produtos reais foram antecipados para depois do hero e da explicação curta do fluxo, antes de briefing, biblioteca e manifesto. Resta avaliar a hierarquia com compradores.","Revisão de implementação e contratos em 22/09; validação local discriminada em EXECUCAO_COMPLEMENTAR_20260922.md. Teste automatizado não substitui aceite operacional ou pesquisa.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","25be22f768a6714aa04e0ccff06b0f556a7b8b7c"
"UX22","Promessa no primeiro bloco","I","I","nenhuma_no_escopo_tecnico","src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json","Promessa e ausência de pagamento explícitas; compreensão por público real não certificada.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX23","Produtos que mostrem repertório","P","P","validacao_operacao","src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx","Produtos reais aparecem; seleção editorial responsável e revisão de diversidade não demonstradas.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX24","Campanhas distintas","P","P","validacao_operacao","src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx; src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts","Onboarding não impõe mais kits; diferenciar resultados por intenção e validar pertinência ainda pendente.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX25","Quatro frases da marca","I","I","nenhuma_no_escopo_tecnico","src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json","Quatro frases exatas presentes no manifesto e verificadas pelos testes.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX26","Case comercial real","E","E","material_pesquisa_operacao","src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx","Modelo completo de case com material autorizado e resultado documentado não localizado.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX27","Como funciona","P","P","validacao_operacao","src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx","Processo apresentado; etapas de arte produção e entrega dependem de validação comercial.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX28","Operação e limites","E","E","material_pesquisa_operacao","README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx","Fotos próprias autorizadas e capacidades/prazos operacionais precisam confirmação.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX29","Necessidade no contato","I","I","nenhuma_no_escopo_tecnico","README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json","Contato inclui mensagem e preferência de canal; persistência não equivale a notificação.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX30","Redes e atendimento oficial","P","P","validacao_operacao","src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx","Quatro redes e links acessíveis presentes; titularidade horários e atendimento real não revalidados.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX31","Taxonomia de campanhas","P","P","validacao_operacao","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx","Taxonomia implementada; sem avaliação comercial sistemática dos rótulos editoriais.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX32","Sinônimos por intenção","P","P","validacao_operacao","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx","Sinônimos e onboarding separados de kit; ausência de conjunto julgado limita aceite de relevância.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX33","Erros de digitação","I","I","nenhuma_no_escopo_tecnico","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts","Correção sugerida de digitação e preservação de códigos cobertas por testes.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX34","Amostra de relevância","N","P","validacao_operacao","src/lib/search.ts; src/lib/searchRelevance.ts; src/lib/searchRelevance.test.ts; src/lib/search.test.ts","Há 20 julgamentos editoriais versionados e testados como baseline técnico; ainda falta homologação comercial com consultas e resultados reais.","Reavaliado após implementação e testes do commit técnico indicado; estado parcial evita tratar uma amostra editorial como pesquisa real.","203a4a7dd27b9c9e9cfb4b06ab95dbd2c939bf28","df76f67297d41b9edfc30ae2ad3522c45e26e6da"
"UX35","Ordenação editorial","P","P","codigo_validacao","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx","Ordenação por flags existe; ranking por intenção e diversidade não comprovado.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX36","Novidades, kits, badge único","I","I","nenhuma_no_escopo_tecnico","src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml","Badge único com prioridade novidade-kit-personalização e janela temporal testados.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX37","Grupos do superfiltro","I","I","nenhuma_no_escopo_tecnico","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json","Grupos filtros por IDs chips e busca interna implementados/testados.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX38","Refinamento móvel","I","I","nenhuma_no_escopo_tecnico","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json","Painel móvel combina filtros preserva URL e retorna foco.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX39","Densidade, paginação, retorno","P","I","nenhuma_no_escopo_tecnico","src/lib/catalog.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/App.tsx; src/lib/scrollRestoration.ts; src/lib/scrollRestoration.test.ts; e2e/smoke.spec.ts","Paginação e filtros permanecem na URL; o retorno restaura a posição exata mesmo quando a rota recompõe altura de forma assíncrona.","Contratos de paginação existentes e nova regressão de restauração validados em 22/09/2026.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","909b1eff043a45690a8b08f3b0f55d1dd624474f"
"UX40","Explicar recomendações e vazios","P","P","validacao_operacao","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx","Filtros e vazios explicáveis; pertinência comercial de recomendações ainda sem aceite.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX41","Qualidade dos dados","P","P","dados_validacao","src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; docs/EXECUCAO_CORRECOES_20260912.md; e2e/smoke.spec.ts; tests/api/lead-requests.test.ts; src/lib/quoteItems.test.ts","B02 corrigido. A amostra histórica não é estratificada nem valida completude/consistência do catálogo inteiro; não houve escrita na origem.","Reavaliado pelo delta de implementação, fontes atuais e evidências especificadas no relatório de fechamento.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX42","Resumo e descrição completa","I","I","nenhuma_no_escopo_tecnico","src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json","Resumo e descrição completa separados na ficha; não implica qualidade factual de todo cadastro.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX43","Especificações e unidades","P","P","validacao_operacao","src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json","Ausências e unidades apresentadas; comparabilidade por família exige revisão dos dados.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX44","Galeria com ampliação","I","I","nenhuma_no_escopo_tecnico","src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml","Miniaturas zoom Escape e fallback implementados; testes aprovados nos recortes de galeria.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX45","Cores e variantes","P","I","nenhuma_no_escopo_tecnico","src/pages/ProductPage.tsx; src/components/ProductCard.tsx; api/_lib/catalogValidation.ts; src/lib/sharedSelection.ts; src/lib/sharedSelection.test.ts; src/lib/customerSelections.ts; src/lib/customerSelections.test.ts; src/pages/SharedSelectionPage.tsx; api/_lib/sharedSelections.ts; api/shared-selections.ts; tests/api/shared-selections.test.ts; site-supabase/supabase/migrations/20260922210000_close_selection_and_asset_integrity_gaps.sql; site-supabase/supabase/tests/database/selection_asset_integrity.test.sql","Variante estável é validada contra o produto; quando o catálogo não fornece variant_id, o nome da cor é preservado, reconciliado somente por correspondência única e sinalizado quando removido ou ambíguo. Histórico, conta e links não descartam a escolha silenciosamente.","Reavaliado com inventário de 16.993 amostras sem variant_id, testes unitários/API, pgTAP e fluxos E2E de indisponibilidade.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","ef97fc75e4109b90e5b25d14d9418d6557bb4640"
